Date,Location,LAI,STD. DEV.,Sample Number,B1,B2,B3,B4,B5,NDVI,NDRE,CIGR,CIRE,MTCI,RDVI,Height,Date of imagery,CP
20200618,3,7.793094027,2.074628709,3,655.3059794,2998.142549,726.5722985,7374.10323,25039.81031,0.943576303,0.54503061,7.373175288,2.404505307,2.669571079,151.4407018,0.535596575,20200618,1
20200618,1,10.04592437,1.239484737,4,758.8365785,2901.810652,754.2329211,7702.912066,29409.65551,0.950074853,0.585086141,9.153484576,2.831219848,3.143394686,164.9741604,0.679315764,20200618,2
20200618,2,9.597981754,1.453247567,5,674.5660246,2939.253037,686.7989197,7801.558196,28023.93557,0.952168307,0.564658118,8.560673226,2.601912595,2.854816879,161.3099472,0.625009607,20200618,2
20200618,3,12.58907046,3.644077013,6,622.2777885,2870.30148,614.7696551,7541.391208,27864.69844,0.956785507,0.574011874,8.722119637,2.704505242,2.946652452,161.4023724,0.774495806,20200618,2
20200618,1,13.60318072,1.859967845,7,791.6741238,2678.210322,842.5539884,7721.820403,33180.24092,0.950496231,0.622530285,11.41179845,3.310092493,3.71815639,175.300478,0.461456299,20200618,3
20200618,2,8.137757955,1.321073373,8,668.286753,2458.29682,717.7852949,7555.180527,31328.52329,0.955196353,0.611268179,11.77279819,3.156274308,3.489379958,170.9488634,0.309991342,20200618,3
20200618,3,6.16329318,1.059867372,9,693.5668109,2444.948406,1074.018177,7529.393314,29495.77874,0.929765003,0.593073119,11.12518064,2.927179925,3.418353197,162.5138394,0.312153135,20200618,3
20200618,1,4.402245466,0.543621239,10,897.6953879,3572.118001,860.1748049,9312.765379,26415.67717,0.93686038,0.478954819,6.505436099,1.85887454,2.050837008,154.6750546,0.199210866,20200618,4
20200618,2,5.313998928,1.21830139,11,788.474365,2964.180827,858.923369,7814.840485,26955.91487,0.938245161,0.550723166,8.154727134,2.481591779,2.79476438,156.4216151,0.236940581,20200618,4
20200618,3,8.791388165,1.63869449,12,670.0901623,2572.560536,620.5438016,6138.13667,27002.80626,0.95514556,0.629334141,9.532192982,3.428710716,3.822521416,158.677465,0.452707291,20200618,4
20200701,1,8.713373026,1.401714065,1,1463.328429,5420.421168,3169.525992,10623.37807,19556.17099,0.720504961,0.297909693,2.640773803,0.854954624,1.231065869,108.5423331,1.240473147,20200712,1
20200701,2,4.62443923,0.760035275,2,1190.063637,4778.396915,2781.822775,9618.079596,17107.70092,0.719894746,0.281519032,2.609292286,0.790070457,1.117240226,101.409315,1.057694534,20200712,1
20200701,3,6.726738589,0.924567311,3,1221.437484,4269.001596,2864.420138,8529.104338,16779.99185,0.706892829,0.326134212,2.954302752,0.978084964,1.475289449,99.07789751,1.27542199,20200712,1
20200701,1,8.253188022,0.715998782,4,1701.913982,6687.759569,3591.602728,13526.34364,25437.12152,0.752478128,0.306744155,2.865603655,0.891917159,1.21462488,128.1336852,0.6998426,20200712,2
20200701,2,8.203464833,1.327689419,5,1450.954854,5995.505089,3242.415572,11866.58438,21727.55326,0.73978292,0.294874776,2.665056116,0.844599067,1.164844288,116.851902,0.875599828,20200712,2
20200701,3,8.186498637,1.070406544,6,1939.658677,6631.207098,3677.214543,12166.49756,22753.16555,0.722337287,0.306202022,2.528600392,0.900404831,1.289160087,117.1213077,0.841815291,20200712,2
20200701,1,9.897741914,1.107152644,7,1296.218729,4711.645337,2548.979535,11219.33296,26008.28782,0.820424438,0.398061582,4.562896958,1.327448467,1.726198537,138.5716872,0.225317546,20200712,3
20200701,2,6.671791387,0.932947632,8,1193.891866,4448.898509,2702.377915,10565.06352,23144.59521,0.790145216,0.372779008,4.216111788,1.194409372,1.604754099,127.0014478,0.083856936,20200712,3
20200701,3,5.524085207,0.982476017,9,1066.031804,3908.242943,2576.853674,8896.082441,19129.21586,0.762240271,0.365260452,3.959238907,1.156872161,1.629553926,112.2352842,0.244689669,20200712,3
20200701,1,3.96493034,0.751894012,10,1045.280703,3152.06828,2785.453399,7349.085248,14675.22473,0.679586673,0.332676615,3.666600966,1.000721123,1.63046013,89.82120381,0.589514051,20200712,4
20200701,2,5.050763325,0.671233524,11,881.2720638,2839.617436,2441.517013,6932.098337,14856.85904,0.717064042,0.364712469,4.261902354,1.155095968,1.803447548,94.25951931,0.656361716,20200712,4
20200701,3,7.413943625,1.08327312,12,1048.160035,3273.048404,2520.885916,7485.825392,16357.55693,0.732798773,0.372753458,4.030745488,1.193287075,1.812607187,100.6199982,1.028637519,20200712,4
