AGB,# stems,B1,B2,B3,B4,B5,mean_intensity,std_intensity,mean_height (m),perc25_height,median_height,perc75_height,std_height,var_height,skew_height,kurto_height,dens_q100,dens_q75,dens_q50,dens_q25,mean_zdiff_q100,mean_zdiff_q75,mean_zdiff_q50,mean_zdiff_q25
982.1774899,42,1044.901925,3245.607688,2522.955805,6987.599418,13534.24217,30.2556391,1.779812169,0.522661654,0.589,0.524,0.551,0.042258049,0.001785743,-0.175227624,0.53578938,0.248120301,0.248120301,0.248120301,0.255639098,0.002375,0.0008125,0.0008125,0.003787879
1258.541396,59,1132.217418,3620.278422,2334.869565,8143.547915,15731.9653,30.49700599,2.096116316,0.612724551,0.675,0.616,0.6515,0.059307951,0.003517433,-0.509322347,0.179297631,0.251497006,0.245508982,0.251497006,0.251497006,0.002146341,0.00085,0.000707317,0.003219512
1205.968,54,1151.711877,3425.847594,2749.745605,7611.279822,14168.99251,30.53383459,1.979400958,0.71206015,0.5025,0.715,0.737,0.041350648,0.001709876,-0.92167428,2.132649507,0.233082707,0.263157895,0.240601504,0.263157895,0.0024,0.000617647,0.000677419,0.004
1155.043294,62,813.4722318,3187.564767,2519.944365,7569.33303,14824.898,29.57792208,1.76466938,0.644512987,0.671,0.661,0.69875,0.084749994,0.007182562,-1.163653453,1.56477596,0.253246753,0.246753247,0.246753247,0.253246753,0.002394737,0.000972973,0.001378378,0.007342105
1166.902727,68,1102.657355,3589.935025,3249.388736,7957.184616,14523.93434,29.79695431,1.608792738,0.725284264,0.62,0.733,0.768,0.063957556,0.004090569,-1.11191523,2.382637472,0.243654822,0.253807107,0.248730964,0.253807107,0.00193617,0.000693878,0.000895833,0.00444898
1381.825917,76,196.8772504,580.2201313,452.649252,1324.044174,3360.83386,29.65030675,1.825295143,0.430411043,0.6435,0.422,0.4725,0.060976988,0.003718193,0.272665016,-0.195093032,0.251533742,0.226993865,0.263803681,0.257668712,0.00315,0.001333333,0.000714286,0.002536585
1352.652706,90,215.2719557,573.0428408,502.8860123,1331.421201,3228.859814,29.8137931,1.796495465,0.41637931,0.31725,0.442,0.521,0.131949524,0.017410677,-0.258322756,-0.986903172,0.24137931,0.248275862,0.255172414,0.255172414,0.004058824,0.0022,0.002888889,0.004972222
1118.961899,60,1344.333293,4019.444897,2687.833122,9249.771861,17753.00017,30.55121951,1.534501103,0.711814634,0.1875,0.709,0.739,0.042809445,0.001832649,0.352221251,0.18694096,0.248780488,0.248780488,0.23902439,0.263414634,0.0022,0.00058,0.0005625,0.001358491
1289.239504,68,1223.723448,3492.222661,2810.072014,8410.438363,16046.17974,30.53333333,2.035972786,0.694288889,0.2985,0.703,0.7245,0.042040345,0.001767391,-0.703074075,0.291017514,0.251851852,0.237037037,0.259259259,0.251851852,0.001666667,0.000645161,0.000911765,0.003393939
1027.293205,47,1081.327869,3693.581967,2604.565574,8046.754098,15610.05738,29.84269663,2.103495627,0.58308427,0.612,0.5995,0.6555,0.092965613,0.008642605,-0.839714291,0.253914998,0.252808989,0.247191011,0.247191011,0.252808989,0.001909091,0.001255814,0.00155814,0.005863636
