Date,Location,LAI,STD. DEV.,B1,B2,B3,B4,B5,Height,CIGR,CIRE,MTCI,NDRE,NDVI,RDVI
20200527,3,7.018514777,0.956718191,1169.571244,3052.302052,804.8641314,6859.268825,22806.53321,0.042418868,6.518342625,2.336014713,2.644853592,0.53796221,0.931932607,143.1286916
20200527,1,8.339393243,0.922457555,1108.226605,2931.589883,771.5911271,6963.113088,23117.83844,0.058720515,6.928593461,2.331236549,2.619706795,0.537427124,0.935520475,144.4829059
20200527,2,6.428213449,0.864822127,1118.184161,3133.03345,795.8933842,7393.398224,22810.39035,0.068406847,6.313421781,2.095391896,2.348052598,0.510945614,0.932628919,143.1818857
20200527,3,7.424167058,1.30449135,1100.586421,2937.005717,756.7623412,6736.331759,21414.3184,0.058650208,6.320592169,2.187429752,2.46398886,0.521581569,0.931772131,138.6597029
20200527,1,8.380561226,1.530720877,1084.237109,2635.161534,658.0883297,6015.477965,21712.95047,0.053983053,7.295344763,2.625502661,2.946238811,0.566722187,0.941288572,140.6717436
20200527,2,6.352131545,1.311140704,1014.369088,2465.167435,595.7567331,5525.660247,19995.36192,0.088658259,7.145550521,2.641592349,2.962658722,0.567903848,0.942052388,135.0869222
20200527,3,6.504344797,1.599507579,975.8902201,2461.362903,610.7285119,5648.300187,19807.26209,0.055031953,7.091615446,2.51516031,2.818425781,0.556388442,0.940240305,134.2532814
20200527,1,4.222960931,0.856838278,1072.788582,2616.66232,717.3101026,6150.101591,19502.06684,0.039193613,6.516469282,2.187780455,2.474605591,0.521178779,0.929201979,131.9607577
20200527,2,4.671663155,0.889857616,966.8429489,2420.577536,675.9201093,5958.249462,19246.94003,0.041251256,7.034780496,2.24467855,2.528124021,0.527794781,0.932369962,131.4973755
20200527,3,7.151118427,1.382699801,877.9396518,2329.866836,582.4478864,5849.584965,20215.08348,0.03850647,7.73173178,2.465534723,2.735823708,0.55142839,0.944346847,136.0533888
20200618,1,8.689672584,1.639902336,826.6994158,3273.643612,734.7899761,7048.862734,25866.81682,0.167191726,6.954406144,2.685067392,2.998673019,0.571857439,0.944774717,154.0594277
20200618,2,5.057740502,1.139102057,878.4886899,3378.639234,821.0085404,7166.474602,23363.68558,0.254480591,5.994840628,2.28110284,2.576456397,0.530537516,0.931759529,144.8527001
20200618,3,7.793094027,2.074628709,835.7685284,3100.683187,827.6088582,6457.332459,23985.70479,0.163771667,6.750414611,2.720214285,3.120871688,0.57573129,0.933257573,146.9919631
20200618,1,10.04592437,1.239484737,910.0306604,2913.898236,804.3122826,6933.184631,27675.12882,0.314422302,8.524674268,3.003215726,3.396116531,0.599539848,0.94366272,159.2139872
20200618,2,9.597981754,1.453247567,852.0927082,3048.549588,736.1458476,6814.705202,26378.34656,0.236816406,7.68785186,2.883514062,3.234225352,0.589672186,0.945719874,155.7001064
20200618,3,12.58907046,3.644077013,787.5056628,3073.703462,688.531255,6672.38626,26130.05213,0.223128099,7.521323519,2.924058646,3.261880608,0.592889808,0.948628889,155.2879573
20200618,1,13.60318072,1.859967845,1020.593948,2835.315854,976.025654,7052.74326,33579.48777,0.099606628,10.86928705,3.771906984,4.378714514,0.653016325,0.943537718,175.3748833
20200618,2,8.137757955,1.321073373,897.2368288,2644.407336,875.3458627,6498.491799,31809.49549,0.209830933,11.06284022,3.904279857,4.513548561,0.660755064,0.946424736,171.0584223
20200618,3,6.16329318,1.059867372,935.8882946,2634.236975,1298.725647,6571.60076,30363.84965,0.133140564,10.58085513,3.633928025,4.529934324,0.644131228,0.917976558,163.2988006
